index,language,lable
10931,strikal saktikarikkappetanam. pandirr ,malayalam
10932,ganda godeya int ,kannada
10933,sirf apni website ,hindi
10934,conviction also flattening ,english
10935,jivitam virat kohliki ,telugu
10936,katciyiliruntum tanatu katcikku ,tamil
10937,javaharlal neh‌ru paranna ,malayalam
10938,hattida o matagatiya ,kannada
10939,page correct marketplace ,hindi
10940,of ego how ,english
10941,cinna vayas su ,telugu
10942,veliyiliruntum alaippu vitukkappatta ,tamil
10943,“alukale unarttan strikal ,malayalam
10944,udyanavana mattu kelavu ,kannada
10945,strategic husky reason ,hindi
10946,hard is that ,english
10947,nunde kriket patla ,telugu
10948,vekumakkal kilpatiyamai iyakkankalukku ,tamil
10949,"unarttappetanam. aval cuvatuveccal, ",malayalam
10950,"atirekavannu tegedukollalu prarambhisidanu, ",kannada
10951,care so hum ,hindi
10952,going to be ,english
10953,istam undedi. virat ,telugu
10954,kanti maruppu terivittatotu ,tamil
10955,"kutumbam munneatt peakunnu, ",malayalam
10956,a vyaktiyu rampiyan ,kannada
10957,log starting maple ,hindi
10958,well i think ,english
10959,kohli sini nati ,telugu
10960,pirittan alintupatta campaliliruntu ,tamil
10961,"gramam munneatt ninnunnu, ",malayalam
10962,annu tegedukondanu mattu ,kannada
10963,18 saal businessman ,hindi
10964,is there any ,english
10965,anuska sarmanu lo ,telugu
10966,tan cuntirattai ventavillai ,tamil
10967,rastram vikasanattilekk nayikkunnu. ,malayalam
10968,avana hendati adarinda ,kannada
10969,asif marketplace baby ,hindi
10970,film that can ,english
10971,italilo vivaham cesukunnadu ,telugu
10972,enrum kurippittar. iruppinum ,tamil
10973,"intyayil, stri saktikaranattin, ",malayalam
10974,salad madi adannu ,kannada
10975,chaudah or make ,hindi
10976,actually balance the ,english
10977,atuvanti ottidilo pani ,telugu
10978,poril atirstankal marimari ,tamil
10979,"stridhanam, niraksarata, laingikatikramam, ",malayalam
10980,tinnuttiddalu adare ade ,kannada
10981,a boat fluctuations ,hindi
10982,image and also ,english
10983,ceyagalagali sthanika inglis ,telugu
10984,erpatuvataip pola cutantira ,tamil
10985,"asamatvam, bhrunahatya, strikalkketiraya ",malayalam
10986,ratri bagilu tattitu ,kannada
10987,or an stability ,hindi
10988,balanced image not ,english
10989,matlade tyutar‌lato okaripai ,telugu
10990,iyakkamum cutantirattirkana nuru ,tamil
10991,"garhika pidanam, balatsangam, ",malayalam
10992,mattu a vyaktige ,kannada
10993,lagi to be ,hindi
10994,justified maybe but ,english
10995,okaru klasula dvara ,telugu
10996,varuta porattattin uccakattattai ,tamil
10997,vesyavrtti tutanni oru ,malayalam
10998,eno tappagide endu ,kannada
10999,honest sco everything ,hindi
11000,at least balance ,english
11001,anargalanga matlade visayaniki ,telugu
11002,uruvakkiya irantu iyakkankalin ,tamil
11003,samuhattil avarute avakasannaleyum ,malayalam
11004,tilidittu nivu estu ,kannada
11005,was kind of ,hindi
11006,they made you ,english
11007,vaste cala mandi ,telugu
11008,elucciyaik kantatu.  ,tamil
11009,mulyannaleyum hanikkunna ella ,malayalam
11010,dhairya madiddiri nivu ,kannada
11011,making sense to ,hindi
11012,have a great ,english
11013,"prajalu bhayandolanalaku guravutaru, ",telugu
11014,ivarril mutalavatu netaji ,tamil
11015,paisacika cintakaleyum keallentat ,malayalam
11016,nanna totakke bandu ,kannada
11017,move away from ,hindi
11018,content why not ,english
11019,pratyekinci konni kathinamaina ,telugu
11020,cupas cantiraposal valinatattappatta ,tamil
11021,"avasyaman. , manusyakkatattum ",malayalam
11022,nanna molagalannu kallarante ,kannada
11023,marketplace because people ,hindi
11024,why not but ,english
11025,paristhitulalo bauling spin ,telugu
11026,asat intu iyakkamakum ,tamil
11027,samana visayannalum. linga ,malayalam
11028,kadiyuttiri adakkagi nivu ,kannada
11029,search for us ,hindi
11030,it will be ,english
11031,laga inglisulo matlade ,telugu
11032,itu porin tuvakkattileye ,tamil
11033,vivecanam rajyatt sanskarikavum ,malayalam
11034,balaluttiri oh dayavittu ,kannada
11035,today be about ,hindi
11036,hard thing i ,english
11037,vatavaranam lekunte adi ,telugu
11038,totankappattatu enpatutan accu ,tamil
11039,samuhikavum sampattikavum vidyabhyasaparavumaya ,malayalam
11040,nannannu ksamisibidu nanna ,kannada
11041,30% of our ,hindi
11042,think it's just ,english
11043,naipunyam sadhincadaniki ekaika ,telugu
11044,natukalitamiruntu utaviyaiyum koriyatu. ,tamil
11045,"vyatyasannal keantuvarunnu, it ",malayalam
11046,hendati kitakiyinda nimma ,kannada
11047,sales comes from ,hindi
11048,the script i ,english
11049,margam. sthiramaina abhyasam ,telugu
11050,irantavatu iyakkam kantiyal ,tamil
11051,rajyatte pinneatt nayikkunnu. ,malayalam
11052,grampiyan‌galannu nodidalu mattu ,kannada
11053,search sales this ,hindi
11054,think i think ,english
11055,adevidhanga nisnatuluga anglanlo ,telugu
11056,valinatattappattu  am ,tamil
11057,intyan bharanaghatanayil paramarsiccirikkunna ,malayalam
11058,avalu tumba kettaddannu ,kannada
11059,year till date ,hindi
11060,it all depends ,english
11061,matladatam kuda mim'malni ,telugu
11062,antu akastil arampikkappatta ,tamil
11063,tulyataykkulla avakasam urappakkan ,malayalam
11064,"bayasiddalu, nanu avalige ",kannada
11065,we have done ,hindi
11066,upon the script ,english
11067,miru sthiranga mariyu ,telugu
11068,porukkup pin atikarattai ,tamil
11069,strikale saktikarikkukayan ittaram ,malayalam
11070,illa endu helalu ,kannada
11071,"5,00,00,000 and we're ",hindi
11072,this could be ,english
11073,kramam tappakunda paristhitulalo ,telugu
11074,marrittaruvatil intiya araciyal ,tamil
11075,tinmakale unmulanam ceyyanulla ,malayalam
11076,sadhyavagalilla o apaks ,kannada
11077,gonna end it ,hindi
11078,you know there ,english
11079,"uncukovalsina avasaram untundi, ",telugu
11080,talaimaikalukkitaiye karuttorrumai erpatatatal ,tamil
11081,erravum phalapradamaya margam. ,malayalam
11082,satya nantara nanu ,kannada
11083,at 12:00 crores ,hindi
11084,are some certain ,english
11085,kambli nimisala taragatulanu ,telugu
11086,kirips misanin tolviyait ,tamil
11087,lingasamatvattin munganana nalkunnat ,malayalam
11088,nimma hendati pettigeyastu ,kannada
11089,last year we ,hindi
11090,script to balance ,english
11091,"andistundi, tadvara miru ",telugu
11092,totarntu inta iyakkam ,tamil
11093,intyayilutanilam stri saktikaranatte ,malayalam
11094,sreyankavannu hondalu nimage ,kannada
11095,only did 3.4 ,hindi
11096,the image of ,english
11097,eppudaina ekkadi nundaina ,telugu
11098,totankiyatu. atakkumurait tanmaiyotu ,tamil
11099,preatsahippiccu. strisaktikaranam enna ,malayalam
11100,avakasa madikodi adare ,kannada
11101,cross and we ,hindi
11102,an actor so ,english
11103,praktis ceyavaccu adbhutamaina ,telugu
11104,intiya poril irakkivitappattatarku ,tamil
11105,"unnatamaya laksyam kaivarikkunnatin, ",malayalam
11106,onde ondu sarattina ,kannada
11107,are on track ,hindi
11108,i think if ,english
11109,tyutar‌lato kamli yap‌ni ,telugu
11110, marrum  ,tamil
11111,at kuttikkalam mutal ,malayalam
11112,mele nivu nimma ,kannada
11113,to close next ,hindi
11114,i can for ,english
11115,daun‌lod cesukondi mariyu ,telugu
11116,il irantumurai kankirasin ,tamil
11117,ella kutumbannalilum pracarippikkukayum ,malayalam
11118,hendatiyondige maguvannu nanage ,kannada
11119,year at 20:05 ,hindi
11120,example i am ,english
11121,kramam tappakunda praktis ,telugu
11122,talaivaraka terntetukkappatta cupas ,tamil
11123,praksepanam ceyyukayum venam. ,malayalam
11124,kottu i jagattige ,kannada
11125,and we have ,hindi
11126,saying a film ,english
11127,ceyadam prarambhincandi darsakudito ,telugu
11128,cantira pos posal ,tamil
11129,strikal saririkamayum manasikamayum ,malayalam
11130,"karetarabeku, dampatigalu samaya ",kannada
11131,preplanned or purchases ,hindi
11132,like you read ,english
11133,"kalisi paniceyalenu, variki ",telugu
11134,katumaiyaka etirppu terivikkappattatu. ,tamil
11135,samuhikamayum saktaranennat pradhanaman. ,malayalam
11136,kaledante elladakku oppige ,kannada
11137,to be able ,hindi
11138,for example no ,english
11139,istam ledu na ,telugu
11140,inta varil pankerpatarku ,tamil
11141,kuttikkalam mutal meccappetta ,malayalam
11142,nididaru ondu sundara ,kannada
11143,to do so ,hindi
11144,i think any ,english
11145,darsakudito premalo padali ,telugu
11146,etiraka muyarci etuttatarkup ,tamil
11147,vidyabhyasam vittil ninn ,malayalam
11148,putta hennu maguvige ,kannada
11149,a profitable aapka ,hindi
11150,actor in south ,english
11151,ani ranabir kapur ,telugu
11152,pinnar avar  ,tamil
11153,"arambhikkamennatinal, rajyattinre sarvateanmukhamaya ",malayalam
11154,adare ade ratri ,kannada
11155,business profitable last ,hindi
11156,can do it ,english
11157,annaru. miru e ,telugu
11158,il kankiras katciyiliruntu ,tamil
11159,vikasanattin avasyamaya strikalute ,malayalam
11160,avara mane bagilige ,kannada
11161,year we had ,hindi
11162,its an amazing ,english
11163,natudikaina na uddesyam ,telugu
11164,vilaki anaittintiya ḥparvart ,tamil
11165,unnamanattin areagyakaramaya oru ,malayalam
11166,bandu hennu maguvannu ,kannada
11167,a net profit ,hindi
11168,film and it ,english
11169,endukante darsakudu odaku ,telugu
11170,pilak enra putiya ,tamil
11171,kutumbam avasyaman. pealum ,malayalam
11172,"karedukondu hodalu, adu ",kannada
11173,of 15% and ,hindi
11174,also can balance ,english
11175,kepten kabatti miru ,telugu
11176,katciyait totankinar. ivarukku ,tamil
11177,"inn, pala pinneakka ",malayalam
11178,bada posakarannu sampurna ,kannada
11179,this year we're ,hindi
11180,the image of ,english
11181,darsakudito kanekt avvalani ,telugu
11182,pakka palamaka pacumpon ,tamil
11183,"pradesannalilum, niraksarata, araksitavastha, ",malayalam
11184,"duhkhadinda bittubittitu, ninu ",kannada
11185,gonna have a ,hindi
11186,an actor so ,english
11187,miku telusu mariyu ,telugu
11188,mutturamalinka tevar katciyil ,tamil
11189,matapitakkalute daridryam enniva ,malayalam
11190,tumba sundaravagi kanuva ,kannada
11191,net profit of ,hindi
11192,i think it ,english
11193,miru darsakudito kanekt ,telugu
11194,iruntar.por vetittapotu pirittaniya ,tamil
11195,karanam ceruprayattil tanne ,malayalam
11196,hudugi nanu ninage ,kannada
11197,25% steam crore ,hindi
11198,works any so ,english
11199,kakapote nenu phon ,telugu
11200,aracu avarai  ,tamil
11201,vivahavum prasavavum natakkunna ,malayalam
11202,rak but endu ,kannada
11203,rupees yes profit ,hindi
11204,insecurity about innocence ,english
11205,vadiliveyagalanani nenu anukonu ,telugu
11206,am antu kalkattavil ,tamil
11207,"pravanatayunt. strikale saktippetuttunnatin, ",malayalam
11208,hesarisuttene mattu ninnannu ,kannada
11209,net profit yes ,hindi
11210,being in aware ,english
11211,ii kyan'nuvvu ceyalevu ,telugu
11212,vittucaciraiyil ataittatu. iruppinum ,tamil
11213,"strikalkketiraya durupayeagam, lingavivecanam, ",malayalam
11214,nodikolluttene matagati avalannu ,kannada
11215,jio marketplace ki ,hindi
11216,newcomer if i'm ,english
11217,nenu ceyalenu' ani ,telugu
11218,airoppavilum aciyavilum intap ,tamil
11219,"samuhika vertiriv, akramam ",malayalam
11220,ondu tavnalli lak ,kannada
11221,sale aur jo ,hindi
11222,a newcomer i ,english
11223,cala mandi natinatulu ,telugu
11224,por atika irattam ,tamil
11225,tutanniyava tatayan sarkkar ,malayalam
11226,madidalu r bagilu ,kannada
11227,sourcing have nehati ,hindi
11228,am a newcomer ,english
11229,kuda nato annaru ,telugu
11230,cintappattukkontirukkaiyil tappiccenra avar ,tamil
11231,niravadhi natapatikal kaikkeallunnunt. ,malayalam
11232,mattu mettilugalilla adare ,kannada
11233,aagaya such bolo ,hindi
11234,so what about ,english
11235,rojulaku okasari sinima ,telugu
11236,apkanistan valiyaka jermanikku ,tamil
11237,strikalute purusa medhavitvam ,malayalam
11238,kevala ondu sanna ,kannada
11239,then yeah smart ,hindi
11240,it all started ,english
11241,yokka sakti gurinci ,telugu
11242,tappiccenru pirittaniya aracutan ,tamil
11243,rajyatt pinnakkam nilkkunna ,malayalam
11244,kitakiyaste nanu rapunjel‌ninda ,kannada
11245,band marketplace major ,hindi
11246,out as you ,english
11247,"miku telusu, kani ",telugu
11248,porituvatarkana ranuvattai uruvakka ,tamil
11249,intyayile pradhana samuhika ,malayalam
11250,"vegavagiddu, tumba uddavada ",kannada
11251,business 4x growth ,hindi
11252,come but not ,english
11253,adi rojulu pani ,telugu
11254,irantam ulakappor accu ,tamil
11255,prasnaman linga asamatvam. ,malayalam
11256,cinnada bigagalannu hondiruva ,kannada
11257,nourishing quarter on ,hindi
11258,something that we ,english
11259,cestundo leda pani ,telugu
11260,natukalitam utavi korinar. ,tamil
11261,stri saktikaranam tvaritappetutti ,malayalam
11262,sundara hudugiyagi beledalu ,kannada
11263,quarter increase nearby ,hindi
11264,don't know no ,english
11265,ceyadu ani miku ,telugu
11266,inke avar irvin ,tamil
11267,purusanmareyum strikaleyum samanilayil ,malayalam
11268,adare avala saundaryavu ,kannada
11269,the control marketplace ,hindi
11270,he's coming a ,english
11271,telusu avunu mim'malni ,telugu
11272,romalin intiyap porkkaitikalai ,tamil
11273,keantuvarentatunt. ella mekhalakalilum ,malayalam
11274,vyarthavayitu ekendare kruravu ,kannada
11275,nahin aata thamizh ,hindi
11276,newcomer some 6 ,english
11277,konasagince sakti miku ,telugu
11278,vaittu intiya teciya ,tamil
11279,strikalute unnamanam desiya ,malayalam
11280,avalannu duhkhadinda elliyu ,kannada
11281,alright yes mary ,hindi
11282,times time i ,english
11283,telusu appudu miru ,telugu
11284,ranuvam enru pirapalamana ,tamil
11285,mungananayil ulppetuttanam. stri-purusa ,malayalam
11286,hogalu anumatisalilla nanu ,kannada
11287,companies in palace ,hindi
11288,go to a ,english
11289,dani gurinci alocincaru ,telugu
11290,ranuvattai uruvakkinar. pirittaniya ,tamil
11291,asamatvam rajyattinre vikasanattil ,malayalam
11292,elli kulitiddeno adu ,kannada
11293,start with hearts ,hindi
11294,new language you ,english
11295,munduku sagutaru bagane ,telugu
11296,aracutan porituvatarku vitutalaip ,tamil
11297,valiya tatas'sannal srstikkunna ,malayalam
11298,kalejininda nora nanna ,kannada
11299,i agree with ,hindi
11300,know you have ,english
11301,undandi avunu kani ,telugu
11302,pataiyai uruvakkutal enra ,tamil
11303,niravadhi prasnannalkk karanamakunnu. ,malayalam
11304,kras agiddalu avalu ,kannada
11305,you play teen ,hindi
11306,thats thats where ,english
11307,sinima yokka saraina ,telugu
11308,posin ilamparuva kanavinutaiya ,tamil
11309,samuhattil purusanmarkk tulyapradhan'yam ,malayalam
11310,avala snehitarondige sampurnavagi ,kannada
11311,saal sara operations ,hindi
11312,you challenge yourself ,english
11313,sakti edaina nijamaina ,telugu
11314,karuttakkamaka itu vantucerntatu. ,tamil
11315,labhikkanamennat strikalute janmavakasaman. ,malayalam
11316,adbhutavagi kanuttiddalu adare ,kannada
11317,from bottom to ,hindi
11318,right now that's ,english
11319,natudidi ani miku ,telugu
11320,cutantira aracankamakavulla asat ,tamil
11321,"yathart'thattil saktikaranam keantuvaran, ",malayalam
11322,navu i ritiya ,kannada
11323,end akila samajhata ,hindi
11324,why you entered ,english
11325,telusu. na ditektarlu ,telugu
11326,hint aracankam enru ,tamil
11327,strikal avarute avakasannalekkuricc ,malayalam
11328,vidiyovannu munduvarisuva modalu ,kannada
11329,india mein woh ,hindi
11330,you know that's ,english
11331,nenu sinima yokka ,telugu
11332,pirapalamana iyakkattai cupas ,tamil
11333,beadhavanmarayirikkanam. garhikavum kutumbaparavumaya ,malayalam
11334,candadararagi batan ottiri ,kannada
11335,galat decision tha ,hindi
11336,when you have ,english
11337,enarjini cebutunnanu kabatti ,telugu
11338,cantira pos uruvakkinar. ,tamil
11339,"uttaravadittannal matramalla, ella ",malayalam
11340,mattu notiphikesan valv ,kannada
11341,jab mere ko ,hindi
11342,to step out ,english
11343,miru venukaku velli ,telugu
11344,jappanilum tenkilakkaciyavilum tanatu ,tamil
11345,mekhalakalilum strikal sajivavum ,malayalam
11346,annu sakriyagolisi mattu ,kannada
11347,flipkart or amazon ,hindi
11348,of your comfort ,english
11349,sare ani ceppe ,telugu
11350,valiyai amaittukkontar. attutan ,tamil
11351,kriyatmakavumaya pank vahikkanam. ,malayalam
11352,nim'ma kras nimage ,kannada
11353,ceo result chetan ,hindi
11354,zone it's not ,english
11355,arthanlo miru phiks ,telugu
11356,avar intiyap porkkaitikalutan ,tamil
11357,avarkk currumulla rajyattum ,malayalam
11358,3 gantegala olage ,kannada
11359,name villa or ,hindi
11360,my personal it ,english
11361,cestunnaru sarigga idi ,telugu
11362,natukatattappatta intiya tecapaktarkalaiyuminaintu ,tamil
11363,natakkunna sambhavannalum avar ,malayalam
11364,sandesa kaluhisuttade adu ,kannada
11365,cookie website when ,hindi
11366,might take yeah ,english
11367,saraina rakamaina skript ,telugu
11368,intiya teciya ranuvattaiyum ,tamil
11369,arinnirikkanam. stri saktikaranattin ,malayalam
11370,kelasa maduttade endu ,kannada
11371,i focus karnika ,hindi
11372,you have to ,english
11373,kabatti a saktulu ,telugu
11374,jappan utaviyutan uruvakkinar. ,tamil
11375,samuhattilum rajyattum valareyadhikam ,malayalam
11376,nambiri hagagi avalu ,kannada
11377,decide kra tab ,hindi
11378,you know how ,english
11379,"jarugutayani miku telusu, ",telugu
11380,itanutaiya nokkam pirittaniya ,tamil
11381,marrannal varuttanulla i ,malayalam
11382,iddalendu nanu nanna ,kannada
11383,actual brand building ,hindi
11384,much ever you ,english
11385,idi miru matrame ,telugu
11386,irajjiyattirku etiraka intiyap ,tamil
11387,saktiyunt. samuhattile et ,malayalam
